26,160,1,29,1,26,24
0,160,1.1,29,0,4,2
0,160,1.1,29,1,8,7
2,160,1.1,29,0,2,2
2,160,1.1,29,1,3,2
4,160,1.1,29,0,3,3
4,160,1.1,29,1,2,2
6,160,1.1,29,0,3,3
6,160,1.1,29,1,7,7
8,160,1.1,29,0,2,2
8,160,1.1,29,1,5,3
10,160,1.1,29,0,3,3
10,160,1.1,29,1,3,3
12,160,1.1,29,0,4,2
12,160,1.1,29,1,4,2
14,160,1.1,29,0,4,3
14,160,1.1,29,1,5,4
16,160,1.1,29,0,3,3
16,160,1.1,29,1,9,8
18,160,1.1,29,0,4,2
18,160,1.1,29,1,10,7
20,160,1.1,29,0,1,0
20,160,1.1,29,1,8,7
22,160,1.1,29,0,5,3
22,160,1.1,29,1,25,20
24,160,1.1,29,0,7,3
24,160,1.1,29,1,28,22
26,160,1.1,29,0,8,2
26,160,1.1,29,1,29,23
0,160,1.2,29,0,0,0
0,160,1.2,29,1,6,6
2,160,1.2,29,0,0,0
2,160,1.2,29,1,3,3
4,160,1.2,29,0,0,0
4,160,1.2,29,1,2,2
6,160,1.2,29,0,1,1
6,160,1.2,29,1,0,0
8,160,1.2,29,0,0,0
8,160,1.2,29,1,1,1
10,160,1.2,29,0,1,1
10,160,1.2,29,1,1,1
12,160,1.2,29,0,1,1
12,160,1.2,29,1,2,2
14,160,1.2,29,0,5,5
14,160,1.2,29,1,7,7
16,160,1.2,29,0,4,2
16,160,1.2,29,1,8,6
18,160,1.2,29,0,9,8
18,160,1.2,29,1,10,9
20,160,1.2,29,0,2,1
20,160,1.2,29,1,12,10
22,160,1.2,29,0,11,8
22,160,1.2,29,1,14,11
24,160,1.2,29,0,14,8
24,160,1.2,29,1,17,13
26,160,1.2,29,0,5,2
26,160,1.2,29,1,22,19
0,160,1.5,29,0,0,0
0,160,1.5,29,1,0,0
2,160,1.5,29,0,0,0
2,160,1.5,29,1,0,0
4,160,1.5,29,0,0,0
4,160,1.5,29,1,0,0
6,160,1.5,29,0,0,0
6,160,1.5,29,1,0,0
8,160,1.5,29,0,0,0
8,160,1.5,29,1,0,0
10,160,1.5,29,0,0,0
10,160,1.5,29,1,0,0
12,160,1.5,29,0,0,0
12,160,1.5,29,1,0,0
14,160,1.5,29,0,0,0
14,160,1.5,29,1,0,0
16,160,1.5,29,0,0,0
16,160,1.5,29,1,4,4
18,160,1.5,29,0,0,0
18,160,1.5,29,1,2,1
20,160,1.5,29,0,0,0
20,160,1.5,29,1,3,2
22,160,1.5,29,0,1,0
22,160,1.5,29,1,4,1
24,160,1.5,29,0,2,2
24,160,1.5,29,1,6,5
26,160,1.5,29,0,2,0
26,160,1.5,29,1,28,20
0,160,1.8,3,0,0,0
0,160,1.8,3,1,1,1
2,160,1.8,3,0,0,0
2,160,1.8,3,1,0,0
4,160,1.8,3,0,0,0
4,160,1.8,3,1,0,0
6,160,1.8,3,0,0,0
6,160,1.8,3,1,0,0
8,160,1.8,3,0,0,0
8,160,1.8,3,1,0,0
10,160,1.8,3,0,0,0
10,160,1.8,3,1,0,0
12,160,1.8,3,0,0,0
12,160,1.8,3,1,0,0
14,160,1.8,3,0,0,0
14,160,1.8,3,1,0,0
16,160,1.8,3,0,0,0
16,160,1.8,3,1,0,0
18,160,1.8,3,0,0,0
18,160,1.8,3,1,3,3
20,160,1.8,3,0,0,0
20,160,1.8,3,1,13,11
22,160,1.8,3,0,0,0
22,160,1.8,3,1,15,12
24,160,1.8,3,0,0,0
24,160,1.8,3,1,8,8
26,160,1.8,3,0,0,0
26,160,1.8,3,1,11,10
0,160,1.8,29,0,0,0
0,160,1.8,29,1,3,3
2,160,1.8,29,0,0,0
2,160,1.8,29,1,0,0
4,160,1.8,29,0,0,0
4,160,1.8,29,1,0,0
6,160,1.8,29,0,0,0
6,160,1.8,29,1,0,0
8,160,1.8,29,0,0,0
8,160,1.8,29,1,0,0
10,160,1.8,29,0,0,0
10,160,1.8,29,1,0,0
12,160,1.8,29,0,0,0
12,160,1.8,29,1,0,0
14,160,1.8,29,0,0,0
14,160,1.8,29,1,0,0
16,160,1.8,29,0,0,0
16,160,1.8,29,1,0,0
18,160,1.8,29,0,0,0
18,160,1.8,29,1,6,6
20,160,1.8,29,0,0,0
20,160,1.8,29,1,12,12
22,160,1.8,29,0,0,0
22,160,1.8,29,1,15,14
24,160,1.8,29,0,1,1
24,160,1.8,29,1,16,13
26,160,1.8,29,0,0,0
26,160,1.8,29,1,13,12
0,240,1,29,0,4,3
0,240,1,29,1,12,10
2,240,1,29,0,3,3
2,240,1,29,1,9,9
4,240,1,29,0,4,3
4,240,1,29,1,8,8
6,240,1,29,0,5,5
6,240,1,29,1,10,10
8,240,1,29,0,5,5
8,240,1,29,1,6,5
10,240,1,29,0,4,3
10,240,1,29,1,7,6
12,240,1,29,0,4,4
12,240,1,29,1,6,5
14,240,1,29,0,3,3
14,240,1,29,1,7,7
16,240,1,29,0,2,1
16,240,1,29,1,8,7
18,240,1,29,0,4,3
18,240,1,29,1,9,8
20,240,1,29,0,5,4
20,240,1,29,1,17,16
22,240,1,29,0,5,4
22,240,1,29,1,18,17
24,240,1,29,0,9,6
24,240,1,29,1,22,19
26,240,1,29,0,6,4
26,240,1,29,1,27,24
0,240,1.1,29,0,0,0
0,240,1.1,29,1,NA,NA
2,240,1.1,29,0,1,1
2,240,1.1,29,1,11,11
4,240,1.1,29,0,6,5
4,240,1.1,29,1,12,11
6,240,1.1,29,0,5,5
6,240,1.1,29,1,8,8
8,240,1.1,29,0,10,10
8,240,1.1,29,1,11,10
10,240,1.1,29,0,5,5
10,240,1.1,29,1,9,5
12,240,1.1,29,0,7,5
12,240,1.1,29,1,10,5
14,240,1.1,29,0,7,5
14,240,1.1,29,1,13,10
16,240,1.1,29,0,7,5
16,240,1.1,29,1,12,10
18,240,1.1,29,0,13,10
18,240,1.1,29,1,15,12
20,240,1.1,29,0,7,5
20,240,1.1,29,1,18,14
22,240,1.1,29,0,7,5
22,240,1.1,29,1,15,13
24,240,1.1,29,0,8,2
24,240,1.1,29,1,24,18
26,240,1.1,29,0,7,5
26,240,1.1,29,1,19,16
0,240,1.2,29,0,0,0
0,240,1.2,29,1,NA,NA
2,240,1.2,29,0,0,0
2,240,1.2,29,1,7,7
4,240,1.2,29,0,0,0
4,240,1.2,29,1,7,7
6,240,1.2,29,0,0,0
6,240,1.2,29,1,0,0
8,240,1.2,29,0,0,0
8,240,1.2,29,1,0,0
10,240,1.2,29,0,0,0
10,240,1.2,29,1,1,1
