"ID_Predators_individuals" "ID_species" "Lifestage" "Sex" "Length" "stomach_part" "number_of_prey" "total_weight_g" "latin_name" "ID_sampling" "station_name" "dates"
31 6 1 10 16 "Mitteldarm" 1 1 "Euchone papillosa" 9 "Millionenviertel" "1971-06-23"
32 6 1 10 12 "Mitteldarm" 5 7 "Diastylis rathkei" 9 "Millionenviertel" "1971-06-23"
32 6 1 10 12 "Mitteldarm" NA 2 "Macerated" 9 "Millionenviertel" "1971-06-23"
33 6 1 20 15 "Mitteldarm" 12 17 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
33 6 1 20 15 "Mitteldarm" NA 2 "Unidentified Polychaeta remains" 10 "Suederfahrt" "1971-06-23"
33 6 1 20 15 "Vorderdarm oder Magen" 1 8 "Gobiidae spp." 10 "Suederfahrt" "1971-06-23"
34 6 1 10 13 "Mitteldarm" NA 4 "Macerated" 10 "Suederfahrt" "1971-06-23"
34 6 1 10 13 "Mitteldarm" NA 6 "Harmothoe spp." 10 "Suederfahrt" "1971-06-23"
34 6 1 10 13 "Vorderdarm oder Magen" 3 2 "Harmothoe spp." 10 "Suederfahrt" "1971-06-23"
34 6 1 10 13 "Mitteldarm" 25 3 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Mitteldarm" 4 8 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Vorderdarm oder Magen" 1 1 "Diastylis rathkei" 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Vorderdarm oder Magen" 3 6 "Harmothoe spp." 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Mitteldarm" NA 2 "Unidentified Polychaeta remains" 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Vorderdarm oder Magen" 1 2 "Amphicteis gunneri" 10 "Suederfahrt" "1971-06-23"
35 6 1 10 14 "Mitteldarm" NA 5 "Macerated" 10 "Suederfahrt" "1971-06-23"
36 6 1 10 14 "Vorderdarm oder Magen" 2 7 "Harmothoe spp." 10 "Suederfahrt" "1971-06-23"
